87108	Albuquerque	NM	35.072479	-106.578362	38647
70737	Gonzales	LA	30.22238	-90.922197	38643
48154	Livonia	MI	42.397183	-83.372319	38642
20743	Capitol Heights	MD	38.88423	-76.893317	38621
90029	Los Angeles	CA	34.089848	-118.294661	38617
11369	East Elmhurst	NY	40.763365	-73.872374	38615
33139	Miami Beach	FL	25.779808	-80.1532	38613
87110	Albuquerque	NM	35.108194	-106.578147	38587
60067	Palatine	IL	42.106323	-88.064337	38585
28092	Lincolnton	NC	35.485761	-81.254558	38570
30228	Hampton	GA	33.404147	-84.30735	38569
80920	Colorado Springs	CO	38.957598	-104.77077	38569
94804	Richmond	CA	37.916555	-122.341233	38559
94578	San Leandro	CA	37.706137	-122.12555	38558
60110	Carpentersville	IL	42.114687	-88.291866	38557
20001	Washington	DC	38.910353	-77.017739	38551
28806	Asheville	NC	35.571971	-82.614729	38550
33428	Boca Raton	FL	26.352906	-80.207938	38548
13501	Utica	NY	43.081283	-75.225833	38546
46140	Greenfield	IN	39.801973	-85.772071	38543
94582	San Ramon	CA	37.762174	-121.915788	38537
01752	Marlborough	MA	42.349617	-71.547214	38499
63122	Saint Louis	MO	38.58119	-90.417981	38495
43235	Columbus	OH	40.118363	-83.027626	38493
21804	Salisbury	MD	38.314082	-75.532106	38491
92620	Irvine	CA	33.714796	-117.749139	38486
32256	Jacksonville	FL	30.175204	-81.472784	38483
34983	Port Saint Lucie	FL	27.324139	-80.350299	38480
91776	San Gabriel	CA	34.090776	-118.095091	38475
21236	Nottingham	MD	39.388421	-76.48355	38474
34655	New Port Richey	FL	28.20331	-82.619283	38464
28212	Charlotte	NC	35.187703	-80.744556	38457
71111	Bossier City	LA	32.572857	-93.696982	38456
72756	Rogers	AR	36.32298	-93.975959	38455
19808	Wilmington	DE	39.737615	-75.667057	38442
43147	Pickerington	OH	39.897782	-82.744035	38440
32404	Panama City	FL	30.189031	-85.506785	38425
30319	Atlanta	GA	33.875954	-84.334763	38423
11779	Ronkonkoma	NY	40.812958	-73.11449	38421
48601	Saginaw	MI	43.405947	-83.893998	38406
89506	Reno	NV	39.712124	-119.820815	38379
27030	Mount Airy	NC	36.489802	-80.629164	38374
40299	Louisville	KY	38.151687	-85.517172	38371
08844	Hillsborough	NJ	40.497692	-74.670505	38367
10573	Port Chester	NY	41.015857	-73.677404	38352
46410	Merrillville	IN	41.480207	-87.333065	38340
85295	Gilbert	AZ	33.303241	-111.741807	38332
85730	Tucson	AZ	32.181544	-110.746552	38323
94118	San Francisco	CA	37.780097	-122.462605	38319
48104	Ann Arbor	MI	42.263484	-83.71512	38315
07731	Howell	NJ	40.149537	-74.203987	38304
21045	Columbia	MD	39.206042	-76.828234	38288
34952	Port Saint Lucie	FL	27.296128	-80.299313	38285
44124	Cleveland	OH	41.500022	-81.465036	38282
49203	Jackson	MI	42.221835	-84.396625	38280
92591	Temecula	CA	33.535277	-117.104791	38272
33908	Fort Myers	FL	26.515834	-81.979469	38251
34748	Leesburg	FL	28.768405	-81.882911	38246
90808	Long Beach	CA	33.823943	-118.111335	38232
22903	Charlottesville	VA	38.006972	-78.59506	38229
08618	Trenton	NJ	40.249347	-74.789973	38229
76108	Fort Worth	TX	32.787541	-97.52379	38227
06460	Milford	CT	41.214266	-73.050812	38207
44120	Cleveland	OH	41.473947	-81.579956	38196
42420	Henderson	KY	37.810608	-87.515004	38192
48198	Ypsilanti	MI	42.275075	-83.58634	38186
84065	Riverton	UT	40.49386	-111.943722	38168
30809	Evans	GA	33.55603	-82.170395	38168
60477	Tinley Park	IL	41.572143	-87.78925	38161
93552	Palmdale	CA	34.570867	-118.023744	38158
13601	Watertown	NY	43.968892	-75.906501	38158
98501	Olympia	WA	46.974504	-122.875987	38133
11554	East Meadow	NY	40.720115	-73.558861	38132
60624	Chicago	IL	41.880504	-87.724444	38105
60659	Chicago	IL	41.991488	-87.703986	38104
60133	Hanover Park	IL	41.977842	-88.143199	38103
48146	Lincoln Park	MI	42.243291	-83.181258	38098
46254	Indianapolis	IN	39.849717	-86.271637	38095
77009	Houston	TX	29.795344	-95.36759	38094
65109	Jefferson City	MO	38.573883	-92.277794	38090
30120	Cartersville	GA	34.167879	-84.852014	38085
